ALPHA,K,ALBEDO,MAXINTCPTN,SLA,SLA_RATIO,FRACBB0,FRACBB1,TBB,RHOMIN,RHOMAX,TRHO,COEFFCOND,BLCOND,MAXCOND,MAXAGE,RAGE,NAGE,GROWTHTMIN,GROWTHTMAX,GROWTHTOPT,GROWTHSTART,MINDAYLENGTH,OMEGA_CTEM,RES0CTEM,EPSILON_CTEM,KAPPA,MIN_R0CTEM,MAX_S0CTEM,CN_LEAVES,CN_LITTER,CN_FINE_ROOTS,CN_LIVE_WOODS,CN_DEAD_WOODS,LEAVES_FINERTTOVER,DBHDCMAX,DBHDCMIN,SAP_A,SAP_B,HMAX,DMAX,CRA,CRB,CRC,MINPAREST,R,NSE,MAE
0.047469925,0.643829264,0.079245075,0.262041492,66.20893691,1.993003114,0.289769868,0.254218443,20.00882776,0.331965287,0.71794036,3.9865174,0.057021511,0.00570564,0.003203702,131.2929037,0.749669189,3.996882154,0.476799974,39.38992315,26.11097196,153.9960561,11.78672481,0.813857039,0.207373017,40.01487785,1.582602544,0.099016873,0.529540186,40.69667351,48.68260917,34.43255635,33.9450267,391.6272744,0.431283327,0.301643609,0.230898271,0.634497253,1.945590223,31.35040559,86.08245866,33.57039953,0.037599019,1.132851186,4.053909959,0.264127916,-0.379092448,2.010252672
0.054643934,0.603763178,0.110202936,0.247293481,66.17787991,1.989877331,0.29849001,0.2478531,20.00496311,0.273738551,0.722486363,3.990514067,0.063794215,0.016260385,0.007104893,95.28955187,0.727605988,4.01541446,0.744641973,39.74065442,22.31705888,147.0567907,11.71092555,0.801540692,0.202113754,40.01052799,1.574025912,0.120959889,0.561995636,42.55417436,48.80176203,45.56804827,39.59826771,320.9244081,1.705801948,0.237052722,0.157482092,0.623968279,2.113321296,26.30013225,128.6810049,34.40712238,0.037679405,1.12078658,4.06009314,0.257253912,-0.455970975,1.691720117
0.032993582,0.624173639,0.117467883,0.120936909,66.20299781,2.000224339,0.286883473,0.236524232,19.9961134,0.424065804,0.719463909,4.007065042,0.057655993,0.022385095,0.001831088,146.2310124,0.773675471,4.034884092,0.706839163,39.88964993,22.66438838,127.9863674,11.7427582,0.789716927,0.236783975,40.00347882,1.623496396,0.081464286,0.567939256,42.01924382,49.1157437,44.14249451,44.79447487,135.9647002,1.068974888,0.254004108,0.264987698,0.553631599,2.038207991,28.65236763,77.93530915,35.10575044,0.035707645,1.076704481,4.043994495,0.340840158,-0.771574142,1.472682216
0.050399086,0.587129921,0.14768351,0.271238326,66.21782261,2.00407474,0.292130558,0.239974402,20.00281979,0.456065528,0.708633555,4.005188217,0.0588055,0.012948438,0.005871712,101.701378,0.734137423,4.032368874,0.880275511,39.31722423,23.70318425,140.8766887,12.26531551,0.783016429,0.231142466,40.030622,1.604930308,0.106777621,0.541554194,43.74569353,49.42570698,43.7620788,40.15655054,369.5066058,0.869384397,0.203548229,0.157428933,0.720355391,1.981009902,38.09586078,73.27044742,34.85043982,0.032773874,1.118806176,4.064898108,0.284813169,-1.291644055,1.470417881
0.058704891,0.608729671,0.145358318,0.249399266,66.21860758,2.009385774,0.306464205,0.245990336,20.00446803,0.215004962,0.736919015,4.01313025,0.060426856,0.020963344,0.006756977,110.0039237,0.767218458,3.987457205,0.758162177,39.45662607,25.32850676,145.7620205,12.26807713,0.800153796,0.20546684,39.99842086,1.610986017,0.097112702,0.527336487,41.04113602,49.0228061,50.16131174,41.7947849,285.0175787,1.862893279,0.270077848,0.275340158,0.682650542,1.893684705,23.07734806,111.5787323,35.09900587,0.04023669,1.097411889,4.035196101,0.29914175,-0.090544531,1.852322643
0.039353549,0.605696715,0.095734406,0.305248689,66.17751746,2.011767889,0.302671563,0.244804346,20.01364902,0.237745849,0.72596533,3.994995323,0.068072306,0.003939318,0.002420979,130.1779655,0.773215737,4.00527309,0.082071507,39.01316526,25.18676595,153.1204948,12.24788335,0.82828566,0.243359836,39.97467264,1.589846329,0.097381701,0.542544612,42.04463351,48.47555892,28.79502714,39.47794523,406.9720794,0.952154661,0.261520853,0.182871,0.618718501,1.988115832,24.05877199,78.91776408,34.44352371,0.036663259,1.111822685,4.057969419,0.253887657,-1.40927798,1.716015549
0.042353856,0.673853156,0.143205645,0.208196036,66.21081863,1.997835049,0.295059168,0.248448385,20.00343754,0.634176637,0.712303042,3.98011447,0.061314647,0.0229108,0.001979185,108.1182885,0.708692178,3.991465828,0.243948831,38.59388234,20.29220813,145.3351512,11.87323313,0.818078388,0.215797999,39.98852053,1.591462756,0.098604082,0.56737275,43.649425,49.49388965,28.96481649,43.0385251,301.8515636,1.167542019,0.15124638,0.099537676,0.741122544,2.036349762,32.72722127,117.7558264,34.50110901,0.04728926,1.129696078,4.025738798,0.114590113,-9.031731221,1.872769679
0.055188661,0.586887963,0.086426719,0.286462588,66.1918659,1.995155254,0.291679403,0.264934145,20.0080606,0.237257323,0.709787792,4.001528234,0.062281633,0.005249786,0.007225984,118.9181037,0.760342112,4.005138503,0.085049488,38.63373008,22.26845964,151.2732712,12.37654537,0.785419322,0.210878785,40.00964431,1.570321469,0.119905343,0.577072469,43.01363246,48.6719562,27.19777037,41.88122175,227.7853818,0.416805608,0.247091732,0.126361391,0.721246156,2.045345329,29.53642861,80.87020846,34.76731644,0.030824541,1.109858028,4.020222476,0.240858555,-0.479261669,1.718853256
0.047271199,0.695389082,0.112101289,0.215318959,66.19682365,1.989654472,0.298037677,0.234349371,20.00351738,0.449274677,0.72409905,4.006069188,0.055990655,0.006821319,0.002177193,117.6197833,0.743439668,4.000536017,0.237222733,38.74103672,21.19522447,138.5998827,12.1853362,0.826928008,0.222689691,39.99025734,1.580016895,0.100644472,0.531146207,41.66234266,48.87804194,43.99843898,45.15170541,310.9674307,0.841072475,0.2437917,0.183887354,0.697662084,1.939174861,30.97193031,95.95272718,34.4421663,0.03585429,1.070123759,4.061094914,0.294185735,-0.193110431,1.598027211
0.046723572,0.641275859,0.119050286,0.326477618,66.1752582,1.990805754,0.290472468,0.252215566,20.00034,0.447876962,0.700761246,4.013294432,0.060874431,0.02164374,0.003191657,131.0449289,0.750947331,4.012521837,0.330675908,38.45242843,24.5582257,146.8494588,12.48660505,0.783299886,0.187952643,39.99403969,1.605705711,0.090323813,0.573431556,40.6234378,48.45771606,54.02971187,46.98730399,370.2817645,1.107693198,0.241801391,0.156374003,0.62710315,1.980235903,36.22869166,91.67215182,34.32399281,0.032968052,1.175224033,4.062206418,0.344956658,-0.223227154,1.428746356
0.039830571,0.661363251,0.132218924,0.200507737,66.1887833,1.98891777,0.284812375,0.261790856,19.98593705,0.165926489,0.702604485,4.005688214,0.056943182,0.009582078,0.007408061,107.1664058,0.739871795,4.032312244,1.009395735,39.34252772,26.2535664,142.446354,12.1039976,0.795097768,0.213777541,39.98338126,1.630720631,0.072095331,0.502792115,42.51034208,47.81006769,43.65195329,38.21883688,257.018559,0.321932832,0.252377885,0.155326677,0.663334192,1.81961329,39.6847897,111.4105749,34.46040173,0.032266047,1.06881062,4.048966638,0.266336434,-2.014925414,1.625597668
0.057999852,0.625509486,0.126816564,0.264931923,66.20573959,1.995463276,0.307150602,0.250979636,20.01111209,0.525999398,0.716177562,4.009524291,0.060451419,0.009120762,0.001023972,129.0764023,0.755439883,4.012297224,0.209436391,39.25194869,22.64531747,147.0770525,11.69025988,0.829497559,0.200807038,39.99584974,1.612634905,0.095428928,0.550977788,41.86811027,48.49182599,29.25047254,42.72848794,381.7131662,0.970831377,0.206582128,0.15111712,0.703694961,2.036405139,28.44289989,106.1707529,34.53353252,0.046379987,1.119398453,4.085027796,0.312498874,-0.277458526,1.410806608
